<<<<<<< HEAD
PT50944076692212445321751,123456789,225.0,Conta Poupanca,4626134089632639,2031-01-10,328,4067,false
PT50669975797894690410271,123456789,3.0,Conta Ordem,4408764801924757,2031-01-07,237,4814,false
PT50312486527916573738946,123456789,7.0,Conta Poupanca,4649422369530207,2031-01-09,126,9535,false
PT50365705992814044083828,123456789,0.0,Conta Ordem,4619652584653536,2031-01-13,603,3904,false
PT50765400525911188657758,123456788,0.0,Conta Ordem,4099762416126060,2031-01-13,622,1400,false
=======
IBAN,NIF,Saldo,TipoConta,NumeroCartao,Validade,CVV,Pin,Bloqueado
PT50945204392395328116238,123456789,220.0,Conta Ordem,4369932960176008,2031-01-10,655,2962,false
PT50944076692212445321751,123456789,187.0,Conta Poupanca,4626134089632639,2031-01-10,328,4067,false
PT50669975797894690410271,123456789,3.0,Conta Ordem,4408764801924757,2031-01-07,237,4814,false
PT50312486527916573738946,123456789,20.0,Conta Poupanca,4649422369530207,2031-01-09,126,9535,false
PT50972467956150813276968,123456788,0.0,Conta Ordem,4132200247437744,2031-01-13,512,4700,false
>>>>>>> 6a602221d869dfd27be96c3ff092cbea9dade455
